problem_id,code
03,"'''
	Given a string, find the length of the longest substring without repeating characters.

	Examples:

	Given ""abcabcbb"", the answer is ""abc"", which the length is 3.

	Given ""bbbbb"", the answer is ""b"", with the length of 1.

	Given ""pwwkew"", the answer is ""wke"", with the length of 3. Note that the answer must be a substring, ""pwke"" is a subsequence and not a substring.
'''

class Solution(object):
    def lengthOfLongestSubstring(self, s):
        """"""
        :type s: str
        :rtype: int
        """"""
        mapSet = {}
        start, result = 0, 0

        for end in range(len(s)):
        	if s[end] in mapSet:
        		start = max(mapSet[s[end]], start)
        	result = max(result, end-start+1)
        	mapSet[s[end]] = end+1

        return result "
05,"'''
	Given a string s, find the longest palindromic substring in s. You may assume that the maximum length of s is 1000.

	Example 1:

	Input: ""babad""
	Output: ""bab""
	Note: ""aba"" is also a valid answer.
	Example 2:

	Input: ""cbbd""
	Output: ""bb""
'''

class Solution(object):
    def longestPalindrome(self, s):
        """"""
        :type s: str
        :rtype: str
        """"""
        dp = [[0 for _ in range(len(s))] for _ in range(len(s))]
        maxLength, result = 1, """"
        for index in range(len(s)):
        	dp[index][index] = 1
        	result = s[index]

        length = 2
        
        while length <= len(s):
        	index_i = 0
        	while index_i < len(s) - length + 1:
        		index_j = index_i + length -1

        		if length == 2 and s[index_i] == s[index_j]:
        			dp[index_i][index_j] = 1
        			maxLength = max(maxLength, 2)
        			result = s[index_i:index_j+1]
        		elif s[index_i] == s[index_j] and dp[index_i+1][index_j-1]:
        			dp[index_i][index_j] = 1
        			if length > maxLength:
        				maxLength = length
        				result = s[index_i:index_j+1]

        		index_i += 1
        	length += 1

        return result

# Space: O(N^2)
# Time: O(N^2)

class Solution(object):
    def longestPalindrome(self, s):
        """"""
        :type s: str
        :rtype: str
        """"""

        def expand(s, left, right):
        	while left >= 0 and right < len(s) and s[left] == s[right]:
        		left -= 1
        		right += 1
        	return right-left-1

        start, end = 0, 0
        for index in range(len(s)):
        	even_len = expand(s, index, index+1)
        	odd_len = expand(s, index, index)
        	length = max(even_len, odd_len)
        	if length > (end-start):
        		start = index - (length-1)/2
        		end = index +length/2

        return s[start:end+1]"
06,"'''
	The string ""PAYPALISHIRING"" is written in a zigzag pattern on a given number of rows like this: (you may want to display this pattern in a fixed font for better legibility)

	P   A   H   N
	A P L S I I G
	Y   I   R

	And then read line by line: ""PAHNAPLSIIGYIR""
'''

class Solution(object):
    def convert(self, s, numRows):
        """"""
        :type s: str
        :type numRows: int
        :rtype: str
        """"""
        
        if numRows == 1:
        	return s

        result = ["""" for _ in range(numRows)]
        row, down = 0, 1
        for char in s:
        	result[row] += char

        	if row == numRows - 1:
        		down = 0
        	if row == 0:
        		down = 1

        	if down:
        		row += 1
        	else:
        		row -= 1
        final_string = """"
        for value in result:
        	final_string += value
        return final_string

print Solution().convert(""PAYPALISHIRING"",3)"
10,"'''
	Given an input string (s) and a pattern (p), implement regular expression matching with support for '.' and '*'.

	'.' Matches any single character.
	'*' Matches zero or more of the preceding element.
	The matching should cover the entire input string (not partial).

	Note:

	s could be empty and contains only lowercase letters a-z.
	p could be empty and contains only lowercase letters a-z, and characters like . or *.
'''

class Solution(object):
    def isMatch(self, s, p):
        """"""
        :type s: str
        :type p: str
        :rtype: bool
        """"""
        dp = [[False for _ in range(len(p) + 1)] for _ in range(len(s) + 1)]
        dp[0][0] = True

 		for index in range(1, len(dp[0])):
            if p[index-1] == '*':
                dp[0][index] = dp[0][index - 2]
                
        for index_i in range(1, len(dp)):
        	for index_j in range(1, len(dp[0])):
        		if s[index_i - 1] == p[index_j - 1] or p[index_j - 1] == '.':
        			dp[index_i][index_j] = dp[index_i-1][index_j-1]
        		elif p[index_j-1] == '*':
        			dp[index_i][index_j] = dp[index_i][index_j-2]

        			if s[index_i-1] == p[index_j-2] or p[index_j-2] == '.':
        				dp[index_i][index_j] = dp[index_i-1][index_j] or dp[index_i][index_j]

        		else:
        			dp[index_i][index_j] = False


        return dp[len(s)][len(p)]
        "
100,"'''
	Given two binary trees, write a function to check if they are the same or not.

	Two binary trees are considered the same if they are structurally identical and the nodes have the same value.

	Example 1:

	Input:     1         1
	          / \       / \
	         2   3     2   3

	        [1,2,3],   [1,2,3]

	Output: true
'''

# Definition for a binary tree node.
# class TreeNode(object):
#     def __init__(self, x):
#         self.val = x
#         self.left = None
#         self.right = None

class Solution(object):
    def isSameTree(self, p, q):
        """"""
        :type p: TreeNode
        :type q: TreeNode
        :rtype: bool
        """"""
        if not p and not q:
        	return True 

        stack = [(p, q)]

        while stack:
        	node1, node2 = stack.pop()
        	if node1 and node2 and node1.val == node2.val:
        		stack.append((node1.left, node2.left))
        		stack.append((node1.right, node2.right))
        	else:
        		if not node1 == node2:
        			return False 

        return True"
1002,"'''
Given an array A of strings made only from lowercase letters, return a list of all characters that show up in all strings within the list (including duplicates).  For example, if a character occurs 3 times in all strings but not 4 times, you need to include that character three times in the final answer.

You may return the answer in any order.

 

Example 1:

Input: [""bella"",""label"",""roller""]
Output: [""e"",""l"",""l""]
Example 2:

Input: [""cool"",""lock"",""cook""]
Output: [""c"",""o""]
'''

class Solution(object):
    def commonChars(self, A):
        """"""
        :type A: List[str]
        :rtype: List[str]
        """"""
        char_map = {}
        for char in A[0]:
            if char in char_map:
                char_map[char] += 1
            else:
                char_map[char] = 1
    
        int_map = {}
        for index in range(1, len(A)):
            for char in char_map.keys():
                if char in A[index]:
                    char_count = min(A[index].count(char), char_map[char])
                    char_map[char] = char_count
                else:
                    del char_map[char]
                    
        result = []
        for key, value in char_map.items():
            result.extend([key]*value)

        return result
"
1003,"'''
We are given that the string ""abc"" is valid.

From any valid string V, we may split V into two pieces X and Y such that X + Y (X concatenated with Y) is equal to V.  (X or Y may be empty.)  Then, X + ""abc"" + Y is also valid.

If for example S = ""abc"", then examples of valid strings are: ""abc"", ""aabcbc"", ""abcabc"", ""abcabcababcc"".  Examples of invalid strings are: ""abccba"", ""ab"", ""cababc"", ""bac"".

Return true if and only if the given string S is valid.

 

Example 1:

Input: ""aabcbc""
Output: true
Explanation: 
We start with the valid string ""abc"".
Then we can insert another ""abc"" between ""a"" and ""bc"", resulting in ""a"" + ""abc"" + ""bc"" which is ""aabcbc"".
Example 2:

Input: ""abcabcababcc""
Output: true
Explanation: 
""abcabcabc"" is valid after consecutive insertings of ""abc"".
Then we can insert ""abc"" before the last letter, resulting in ""abcabcab"" + ""abc"" + ""c"" which is ""abcabcababcc"".
Example 3:

Input: ""abccba""
Output: false
Example 4:

Input: ""cababc""
Output: false
 

Note:

1 <= S.length <= 20000
S[i] is 'a', 'b', or 'c'
'''

class Solution(object):
    def isValid(self, S):
        """"""
        :type S: str
        :rtype: bool
        """"""
        stack = []
        if not S:
            return False
        
        for char in S:
            if char == 'a':
                stack.append('a')
            if char == 'b':
                if not stack:
                    return False
                if stack[-1] == 'a':
                    stack.pop()
                    stack.append(char)
            if char == 'c':
                if not stack:
                    return False
                if stack[-1] == 'b':
                    stack.pop()
        return len(stack) == 0
 "
1004,"'''
Given an array A of 0s and 1s, we may change up to K values from 0 to 1.

Return the length of the longest (contiguous) subarray that contains only 1s. 

 

Example 1:

Input: A = [1,1,1,0,0,0,1,1,1,1,0], K = 2
Output: 6
Explanation: 
[1,1,1,0,0,1,1,1,1,1,1]
Bolded numbers were flipped from 0 to 1.  The longest subarray is underlined.
Example 2:

Input: A = [0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1], K = 3
Output: 10
Explanation: 
[0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1]
Bolded numbers were flipped from 0 to 1.  The longest subarray is underlined.
 

Note:

1 <= A.length <= 20000
0 <= K <= A.length
A[i] is 0 or 1 
'''

class Solution(object):
    def longestOnes(self, A, K):
        """"""
        :type A: List[int]
        :type K: int
        :rtype: int
        """"""
        start_index = 0
        for end_index in range(0, len(A)):
            K -= 1-A[end_index]
            if K < 0:
                K += 1-A[start_index]
                start_index += 1
        return end_index-start_index+1
"
1005,"'''
Given an array A of integers, we must modify the array in the following way: we choose an i and replace A[i] with -A[i], and we repeat this process K times in total.  (We may choose the same index i multiple times.)

Return the largest possible sum of the array after modifying it in this way.

 

Example 1:

Input: A = [4,2,3], K = 1
Output: 5
Explanation: Choose indices (1,) and A becomes [4,-2,3].
Example 2:

Input: A = [3,-1,0,2], K = 3
Output: 6
Explanation: Choose indices (1, 2, 2) and A becomes [3,1,0,2].
Example 3:

Input: A = [2,-3,-1,5,-4], K = 2
Output: 13
Explanation: Choose indices (1, 4) and A becomes [2,3,-1,5,4].
 

Note:

1 <= A.length <= 10000
1 <= K <= 10000
-100 <= A[i] <= 100
'''

class Solution(object):
    def largestSumAfterKNegations(self, A, K):
        """"""
        :type A: List[int]
        :type K: int
        :rtype: int
        """"""
        A.sort()
        index = 0
        while K > 0:
            if A[index] < 0:
                A[index] *= -1
                if A[index+1] < A[index] and index < len(A)-1:
                    index += 1
            else:
                A[index] *= -1
            K -= 1
        return sum(A)
"
1006,"'''
Normally, the factorial of a positive integer n is the product of all positive integers less than or equal to n.  For example, factorial(10) = 10 * 9 * 8 * 7 * 6 * 5 * 4 * 3 * 2 * 1.

We instead make a clumsy factorial: using the integers in decreasing order, we swap out the multiply operations for a fixed rotation of operations: multiply (*), divide (/), add (+) and subtract (-) in this order.

For example, clumsy(10) = 10 * 9 / 8 + 7 - 6 * 5 / 4 + 3 - 2 * 1.  However, these operations are still applied using the usual order of operations of arithmetic: we do all multiplication and division steps before any addition or subtraction steps, and multiplication and division steps are processed left to right.

Additionally, the division that we use is floor division such that 10 * 9 / 8 equals 11.  This guarantees the result is an integer.

Implement the clumsy function as defined above: given an integer N, it returns the clumsy factorial of N.

 

Example 1:

Input: 4
Output: 7
Explanation: 7 = 4 * 3 / 2 + 1
Example 2:

Input: 10
Output: 12
Explanation: 12 = 10 * 9 / 8 + 7 - 6 * 5 / 4 + 3 - 2 * 1
 

Note:

1 <= N <= 10000
-2^31 <= answer <= 2^31 - 1  (The answer is guaranteed to fit within a 32-bit integer.)
'''

class Solution(object):
    def clumsy(self, N):
        """"""
        :type N: int
        :rtype: int
        """"""
        return [0, 1, 2, 6, 7][N] if N < 5 else N + [1, 2, 2, - 1][N % 4]
"
